"ms_source_id","wd_source_id","ms_teff","ms_p_rot","wd_teff","wd_logg","wd_total_age","wd_spectral_type"
"583948877461123584","583949251122623232","3466","66.4","$ 7480_{- 100}^{+ 100}$","$8.13_{-0.04}^{+0.04}$","$2.23_{-0.10}^{+0.25}$","DA (3)"
"594439627139102720","594439519764767232","4761","13.0","$20450_{-1000}^{+1030}$","$8.20_{-0.04}^{+0.04}$","$0.53_{-0.06}^{+0.12}$","DBA (4)"
"642837139695905024","642837135401004672","3439","46.7","$ 6970_{-80}^{+80}$","$8.13_{-0.04}^{+0.04}$","$2.58_{-0.10}^{+0.18}$","DA (5)"
"657819944131129472","657820012850606080","3487","38.1","$ 9040_{-140}^{+130}$","$8.29_{-0.04}^{+0.04}$","$1.63_{-0.08}^{+0.15}$","DB (4)"
"678153006506212480","678153006506212608","3390","79.4","$15060_{-710}^{+730}$","$8.50_{-0.05}^{+0.05}$","$0.60_{-0.04}^{+0.06}$","---"
"692919207148481920","692919202851887104","3311","130.4","$ 5820_{-70}^{+70}$","$8.11_{-0.04}^{+0.04}$","$4.18_{-0.31}^{+0.55}$","DA (2)"
"701860809365640704","701860809367120640","3491","15.0","$19890_{-530}^{+440}$","$8.48_{-0.08}^{+0.08}$","$0.35_{-0.05}^{+0.08}$","---"
"719440149164429824","719439423313644672","3381","11.6","$ 7640_{-110}^{+110}$","$8.25_{-0.04}^{+0.04}$","$2.24_{-0.10}^{+0.30}$","DQ (5)"
"739321307963291136","739321312258441216","3314","16.8","$10230_{-420}^{+380}$","$8.41_{-0.07}^{+0.07}$","$1.35_{-0.08}^{+0.05}$","---"
"748247452595214336","748247456890075136","3092","25.8","$ 6350_{-80}^{+80}$","$8.16_{-0.04}^{+0.04}$","$3.38_{-0.17}^{+0.21}$","---"
"765964300065414144","765965051684223360","3396","60.0","$ 5980_{- 70}^{+ 70}$","$8.12_{-0.04}^{+0.04}$","$3.85_{-0.20}^{+0.30}$","DA: (2)"
"793941132918315392","793917660919464960","3816","26.0","$ 8950_{-250}^{+240}$","$8.33_{-0.06}^{+0.06}$","$1.68_{-0.06}^{+0.06}$","---"
"821363846267866368","821363807610959104","3351","52.7","$ 6920_{-110}^{+110}$","$8.25_{-0.04}^{+0.04}$","$3.03_{-0.12}^{+0.15}$","---"
"823582763810855168","823582759515662592","3549","24.6","$ 6520_{-150}^{+140}$","$8.20_{-0.06}^{+0.06}$","$3.33_{-0.26}^{+0.30}$","---"
"844085460212939392","844085490277157376","3726","34.8","$22660_{-1020}^{+1960}$","$8.21_{-0.05}^{+0.05}$","$0.43_{-0.05}^{+0.06}$","DA (2)"
"851088662087300992","851088662087301120","3612","56.8","$ 5460_{-70}^{+ 70}$","$8.10_{-0.04}^{+0.04}$","$5.37_{-0.35}^{+0.56}$","DA (2)"
"855190699452263040","855190695156439680","3210","19.3","$ 5830_{- 70}^{+ 70}$","$8.15_{-0.04}^{+0.04}$","$4.28_{-0.18}^{+0.23}$","DA (2)"
"856837802230613504","856837729215097984","4008","42.7","$12890_{-660}^{+580}$","$8.18_{-0.05}^{+0.05}$","$0.86_{-0.07}^{+0.14}$","---"
"860411043221913984","860411038927355264","3623","20.8","$ 9250_{-290}^{+270}$","$8.25_{-0.07}^{+0.07}$","$1.48_{-0.07}^{+0.10}$","---"
"861184515292492288","861184515291473536","3239","26.7","$ 5300_{- 60}^{+ 60}$","$8.13_{-0.04}^{+0.04}$","$6.31_{-0.23}^{+0.47}$","DZ (2)"
"861951493372439424","861951489076842880","3341","20.9","$ 7040_{-120}^{+120}$","$8.13_{-0.05}^{+0.05}$","$2.52_{-0.16}^{+0.45}$","---"
"873994719110827136","873994719110827264","3326","18.6","$ 7600_{- 90}^{+ 90}$","$8.37_{-0.04}^{+0.04}$","$2.27_{-0.11}^{+0.37}$","DC (6)"
"889041879334169344","889041668879549696","3655","18.1","$ 6660_{-220}^{+200}$","$8.31_{-0.08}^{+0.07}$","$3.81_{-0.18}^{+0.24}$","---"
"896972484905743872","898473932456801024","3304","40.1","$ 9300_{-120}^{+130}$","$8.43_{-0.04}^{+0.04}$","$1.55_{-0.08}^{+0.16}$","DC (6)"
"909162529804018688","909162525508848000","3258","17.2","$10430_{-190}^{+190}$","$8.38_{-0.04}^{+0.04}$","$1.26_{-0.02}^{+0.02}$","DA (2)"
"909192835093328896","909192830801295104","3324","15.8","$ 6280_{- 70}^{+ 70}$","$8.10_{-0.04}^{+0.04}$","$3.36_{-0.26}^{+0.40}$","DA: (2)"
"931487529290752000","931487524994983808","3486","44.4","$ 8090_{-130}^{+120}$","$8.09_{-0.04}^{+0.04}$","$2.12_{-0.27}^{+0.49}$","DA (6)"
"990883830321907456","990883830322597376","3409","120.0","$10560_{-250}^{+240}$","$8.52_{-0.04}^{+0.04}$","$1.25_{-0.03}^{+0.03}$","DC: (2)"
"991811169597579520","991811165304213760","3331","73.7","$ 8480_{-140}^{+140}$","$8.15_{-0.04}^{+0.04}$","$1.73_{-0.10}^{+0.17}$","DA (2)"
"1018436324699616000","1018436320403748480","3556","22.4","$ 8810_{-140}^{+140}$","$8.35_{-0.04}^{+0.04}$","$1.83_{-0.05}^{+0.06}$","DAH (7)"
"1036217489305134848","1036217489305134976","3290","15.9","$ 8760_{-130}^{+130}$","$8.16_{-0.04}^{+0.04}$","$1.63_{-0.08}^{+0.10}$","DA (2)"
"1055800238072103296","1055800165056700416","3234","100.5","$ 5970_{- 80}^{+ 70}$","$8.15_{-0.04}^{+0.04}$","$4.00_{-0.21}^{+0.27}$","DA (2)"
"1103650292622702976","1103650292623968640","3555","25.3","$ 9690_{-520}^{+450}$","$8.22_{-0.11}^{+0.11}$","$1.33_{-0.11}^{+0.31}$","DA (2)"
"1175151533777264256","1175151538072196992","3422","65.8","$ 7820_{-130}^{+120}$","$8.20_{-0.04}^{+0.04}$","$2.04_{-0.07}^{+0.10}$","DA: (2)"
"1202830540713288064","1202830540713287936","3386","41.8","$10850_{-250}^{+240}$","$8.22_{-0.04}^{+0.04}$","$1.09_{-0.04}^{+0.05}$","DA (5)"
"1214994506568260608","1214994502274335360","3495","46.6","$ 5820_{- 100}^{+ 90}$","$8.67_{-0.04}^{+0.04}$","$6.71_{-0.26}^{+0.24}$","---"
"1222565537480885376","1222565533185185024","3353","177.6","$ 5900_{- 70}^{+ 70}$","$8.14_{-0.04}^{+0.04}$","$4.06_{-0.22}^{+0.35}$","DA: (2)"
"1233273646861764480","1233273646861782656","3360","77.8","$ 9350_{-330}^{+320}$","$8.47_{-0.06}^{+0.07}$","$1.90_{-0.11}^{+0.13}$","---"
"1291263917336163456","1291263913040087936","3407","18.7","$ 7040_{- 80}^{+ 80}$","$8.13_{-0.04}^{+0.04}$","$2.52_{-0.10}^{+0.20}$","DA (3)"
"1299293685113944448","1299293680818146176","3300","76.8","$ 6310_{- 90}^{+ 90}$","$8.19_{-0.04}^{+0.04}$","$3.60_{-0.18}^{+0.22}$","DA (2)"
"1319540848141886976","1319540843845667072","4479","53.7","$ 9860_{-300}^{+300}$","$8.16_{-0.06}^{+0.07}$","$1.33_{-0.12}^{+0.29}$","---"
"1322796261553157760","1322796261553165824","3798","13.0","$11700_{-180}^{+180}$","$8.13_{-0.04}^{+0.04}$","$1.06_{-0.05}^{+0.11}$","DA (8)"
"1332138536976820096","1332138532682327552","3445","21.2","$ 7360_{-160}^{+150}$","$8.16_{-0.05}^{+0.05}$","$2.29_{-0.13}^{+0.25}$","---"
"1340289109302083584","1340289113593902080","3257","36.2","$ 9110_{-210}^{+200}$","$8.33_{-0.04}^{+0.05}$","$1.62_{-0.04}^{+0.04}$","---"
"1341558083155952512","1341557984372129536","3263","55.8","$ 7340_{-120}^{+110}$","$8.29_{-0.04}^{+0.04}$","$2.77_{-0.12}^{+0.11}$","DA: (4)"
"1342071937339096192","1342071933043493120","3269","89.3","$ 6320_{-90}^{+ 80}$","$8.24_{-0.04}^{+0.04}$","$3.92_{-0.12}^{+0.16}$","---"
"1345042955196670208","1345041748308955648","3260","17.1","$ 5920_{- 70}^{+ 70}$","$8.16_{-0.04}^{+0.04}$","$4.14_{-0.16}^{+0.18}$","DA (2)"
"1355692412505713152","1355692408211800704","3659","18.5","$19610_{-890}^{+850}$","$8.30_{-0.05}^{+0.05}$","$0.44_{-0.03}^{+0.04}$","DA (2)"
"1365015515194773632","1365015545259769600","3168","93.6","$ 6430_{-120}^{+120}$","$8.28_{-0.04}^{+0.04}$","$3.99_{-0.12}^{+0.14}$","DA (2)"
"1410448641324559744","1410448259071414528","3209","130.4","$ 8360_{-100}^{+110}$","$8.32_{-0.04}^{+0.04}$","$1.88_{-0.07}^{+0.11}$","DQ (3)"
"1412158789927363328","1412158789927364224","3480","10.3","$16680_{-1050}^{+1030}$","$8.25_{-0.07}^{+0.07}$","$0.57_{-0.06}^{+0.09}$","---"
"1444236977242948480","1444236972948340480","3583","36.3","$ 7610_{-260}^{+230}$","$8.17_{-0.08}^{+0.08}$","$2.14_{-0.16}^{+0.51}$","---"
"1444622768385439232","1444622768385439104","3322","81.3","$ 8650_{-110}^{+120}$","$8.33_{-0.04}^{+0.04}$","$1.75_{-0.06}^{+0.10}$","DQ (5)"
"1526498829461895936","1526498863822158592","3345","12.7","$ 7890_{- 100}^{+ 90}$","$8.32_{-0.04}^{+0.04}$","$2.37_{-0.07}^{+0.07}$","DA (3)"
"1541905598706074880","1541905560050370816","3496","16.9","$18950_{-330}^{+250}$","$8.35_{-0.07}^{+0.08}$","$0.45_{-0.06}^{+0.05}$","---"
"1588270938897733888","1588270934604149632","3980","30.8","$ 8700_{-270}^{+260}$","$8.31_{-0.07}^{+0.07}$","$1.75_{-0.09}^{+0.08}$","---"
"1604198258179547264","1604200899583092992","3406","90.4","$ 5610_{- 70}^{+ 70}$","$8.11_{-0.04}^{+0.04}$","$4.75_{-0.24}^{+0.42}$","DA (2)"
"1659015063216647296","1659015063216647424","3318","64.5","$ 8800_{-130}^{+120}$","$8.10_{-0.04}^{+0.04}$","$1.78_{-0.19}^{+0.42}$","DA (3)"
"1681875731024076160","1681875726730147968","3430","102.0","$ 8900_{-190}^{+180}$","$8.28_{-0.05}^{+0.05}$","$1.63_{-0.05}^{+0.06}$","---"
"1748817160020646784","1748816983925915776","5280","40.0","$ 5890_{- 70}^{+ 70}$","$8.09_{-0.04}^{+0.04}$","$4.06_{-0.20}^{+0.27}$","DA (8)"
"1766826194114207360","1766826194114406656","4649","21.3","$13320_{-480}^{+470}$","$8.33_{-0.04}^{+0.04}$","$0.77_{-0.03}^{+0.03}$","DZA (10)"
"1787683727830825856","1787683723535019776","3477","20.8","$ 6440_{- 90}^{+ 90}$","$8.15_{-0.04}^{+0.04}$","$3.17_{-0.16}^{+0.25}$","DA (2)"
"1803336714670003840","1803336749029801728","4231","26.1","$15410_{-540}^{+500}$","$8.13_{-0.04}^{+0.04}$","$0.76_{-0.09}^{+0.18}$","---"
"1812554680855696896","1812554676560349568","3478","292.4","$16227_{-770}^{+690}$","$8.36_{-0.05}^{+0.05}$","$0.56_{-0.03}^{+0.03}$","DA (2)"
"1819001289330307200","1819001289323819520","3507","32.4","$ 9600_{-540}^{+490}$","$8.32_{-0.10}^{+0.10}$","$1.42_{-0.08}^{+0.11}$","---"
"1822194099312577024","1822193996219126784","3312","59.7","$ 6500_{- 100}^{+ 100}$","$8.18_{-0.04}^{+0.04}$","$3.26_{-0.15}^{+0.16}$","DA (2)"
"1830600484179388416","1830600484161582464","3693","17.9","$17700_{-1090}^{+1750}$","$8.59_{-0.10}^{+0.10}$","$0.44_{-0.05}^{+0.07}$","---"
"1874965739686844032","1874965499168713600","3878","14.5","$ 7120_{-100}^{+ 100}$","$8.33_{-0.04}^{+0.04}$","$3.25_{-0.08}^{+0.10}$","DA: (2)"
"1880373172232064256","1880373172233144192","3483","21.4","$19500_{-760}^{+710}$","$8.29_{-0.04}^{+0.04}$","$0.45_{-0.03}^{+0.04}$","DA (2)"
"1911106416309693952","1911106416309735552","3072","14.3","$11750_{-370}^{+350}$","$8.46_{-0.04}^{+0.04}$","$1.02_{-0.05}^{+0.04}$","DA (2)"
"1937074166540526976","1937827194563435648","3516","51.9","$ 9010_{-160}^{+160}$","$8.22_{-0.04}^{+0.04}$","$1.78_{-0.18}^{+0.49}$","DQ (2)"
"1969985710668480256","1969985710668477184","3285","143.5","$10280_{-560}^{+500}$","$8.64_{-0.08}^{+0.08}$","$1.96_{-0.05}^{+0.06}$","---"
"1996725077535282944","1996725077535283200","3632","104.1","$ 5500_{- 70}^{+ 70}$","$8.08_{-0.04}^{+0.04}$","$5.27_{-0.27}^{+0.36}$","DA (8)"
"2010645375776770304","2010692306878145280","3448","14.4","$24610_{-870}^{+860}$","$8.38_{-0.04}^{+0.04}$","$0.32_{-0.04}^{+0.02}$","DA (2)"
"2018812170226865664","2018818045723591680","3941","12.7","$10660_{-700}^{+630}$","$8.37_{-0.09}^{+0.10}$","$1.19_{-0.09}^{+0.07}$","DA (2)"
"2020837264488052864","2020837157077399552","4749","20.5","$ 9590_{-210}^{+240}$","$8.39_{-0.04}^{+0.04}$","$1.47_{-0.10}^{+0.17}$","DC (2)"
"2048599211506044160","2048599314570668544","3839","36.0","$ 7320_{-160}^{+170}$","$8.39_{-0.05}^{+0.05}$","$2.44_{-0.13}^{+0.32}$","DC: (2)"
"2053240524958351360","2053240524960871680","3417","41.0","$ 9400_{-180}^{+170}$","$8.16_{-0.04}^{+0.04}$","$1.43_{-0.08}^{+0.11}$","DA (2)"
"2053585565450552960","2053584770878226304","5351","13.5","$14350_{-500}^{+500}$","$8.43_{-0.04}^{+0.04}$","$0.68_{-0.05}^{+0.03}$","DA (2)"
"2067604574919660416","2067604574919660544","3310","22.3","$10350_{-590}^{+510}$","$8.25_{-0.10}^{+0.10}$","$1.18_{-0.08}^{+0.16}$","---"
"2069622492291282176","2069622487994113408","3580","17.1","$19430_{-620}^{+600}$","$8.36_{-0.04}^{+0.04}$","$0.43_{-0.02}^{+0.02}$","DA: (2)"
"2080422720138489344","2080422720133121152","3798","163.1","$ 7040_{-210}^{+190}$","$8.19_{-0.07}^{+0.07}$","$2.60_{-0.23}^{+0.28}$","DA (2)"
"2141224751076269824","2141224781139309312","3307","12.9","$ 5480_{- 90}^{+ 90}$","$8.12_{-0.05}^{+0.05}$","$5.26_{-0.33}^{+1.17}$","---"
"2142368311889141248","2142368346248880896","3430","10.8","$ 7330_{-260}^{+240}$","$8.27_{-0.08}^{+0.07}$","$2.66_{-0.22}^{+0.22}$","---"
"2187901837176956800","2187901832880159488","3498","31.3","$ 8260_{-270}^{+250}$","$8.34_{-0.07}^{+0.07}$","$2.15_{-0.17}^{+0.13}$","---"
"2187942828344053888","2187942789690550272","3390","76.4","$ 9610_{-600}^{+530}$","$8.43_{-0.11}^{+0.11}$","$1.63_{-0.17}^{+0.12}$","---"
"2205790165505947392","2205790169802867200","3349","39.5","$ 6640_{-240}^{+220}$","$8.17_{-0.09}^{+0.09}$","$3.00_{-0.34}^{+0.64}$","---"
"2238010155466716544","2238010185526881792","3382","27.4","$ 6890_{-120}^{+120}$","$8.19_{-0.04}^{+0.04}$","$2.73_{-0.16}^{+0.15}$","---"
"2255996069750790528","2255996069748606976","3544","21.3","$ 6070_{-130}^{+120}$","$8.23_{-0.05}^{+0.05}$","$4.32_{-0.19}^{+0.25}$","---"
"2275852459474001664","2275852455177465088","3376","28.8","$ 7960_{-230}^{+220}$","$8.41_{-0.06}^{+0.06}$","$2.77_{-0.11}^{+0.13}$","DA: (2)"
"2299189284536000256","2299190006090503808","3501","14.2","$17890_{-550}^{+520}$","$8.30_{-0.04}^{+0.04}$","$0.49_{-0.02}^{+0.02}$","DA (8)"
"2508478574102156544","2508478569806892928","3328","13.4","$ 7470_{-170}^{+160}$","$8.32_{-0.05}^{+0.05}$","$2.79_{-0.13}^{+0.16}$","---"
"2512689428758531456","2512689424463488256","3671","29.3","$ 8490_{-260}^{+240}$","$8.51_{-0.06}^{+0.06}$","$2.69_{-0.06}^{+0.10}$","---"
"2519281859960487424","2519281855665451008","3292","75.3","$ 6890_{- 100}^{+ 100}$","$8.26_{-0.04}^{+0.04}$","$3.16_{-0.11}^{+0.14}$","---"
"2539792321663876736","2539792317371533440","3329","13.3","$ 9310_{-490}^{+460}$","$8.25_{-0.11}^{+0.11}$","$1.46_{-0.10}^{+0.20}$","---"
"2576762025758278656","2576762266276447104","4089","14.0","$14370_{-370}^{+370}$","$8.25_{-0.04}^{+0.04}$","$0.69_{-0.03}^{+0.03}$","DA (2)"
"2579247712310922240","2579247708016296448","3430","18.3","$ 7060_{-260}^{+220}$","$8.19_{-0.09}^{+0.08}$","$2.57_{-0.26}^{+0.40}$","---"
"2656915701868610944","2656915697573351680","3466","43.0","$ 9320_{-210}^{+200}$","$8.32_{-0.04}^{+0.04}$","$1.52_{-0.04}^{+0.04}$","---"
"2700089675200729216","2700089675200402048","3208","108.4","$ 5770_{-100}^{+100}$","$8.21_{-0.05}^{+0.05}$","$4.83_{-0.21}^{+0.25}$","---"
"2724335723363858944","2724335723364297344","3282","12.4","$ 9160_{-260}^{+230}$","$8.30_{-0.06}^{+0.05}$","$1.55_{-0.05}^{+0.07}$","---"
"2739560214200407168","2739560218493488512","3669","33.6","$12010_{-700}^{+600}$","$8.20_{-0.07}^{+0.07}$","$0.93_{-0.09}^{+0.15}$","---"
"2781085405419253504","2781085401124115328","3454","159.7","$ 6490_{- 80}^{+ 80}$","$8.18_{-0.04}^{+0.04}$","$3.36_{-0.19}^{+0.45}$","DZ (6)"
"2816359731303136384","2816359727009816960","3151","29.8","$ 5230_{- 60}^{+ 60}$","$8.21_{-0.04}^{+0.04}$","$7.46_{-0.10}^{+0.15}$","---"
"2824510273561942272","2824510239202203392","3373","33.0","$ 7590_{-150}^{+150}$","$8.21_{-0.04}^{+0.04}$","$2.20_{-0.08}^{+0.11}$","---"
"2857544378863193472","2857547329505058176","3304","159.0","$ 6010_{- 70}^{+ 70}$","$8.16_{-0.04}^{+0.04}$","$3.94_{-0.15}^{+0.17}$","DA: (2)"
"2858833212649253504","2858833208354052096","3495","51.0","$ 5810_{- 70}^{+ 70}$","$8.18_{-0.04}^{+0.04}$","$4.52_{-0.15}^{+0.18}$","DA (2)"
"3047076750159238016","3047076750150944512","3597","270.4","$ 5890_{-180}^{+170}$","$8.29_{-0.09}^{+0.09}$","$5.05_{-0.20}^{+0.33}$","---"
"3096007732007670144","3096007762070816128","3862","14.1","$23110_{-1870}^{+1070}$","$8.20_{-0.05}^{+0.05}$","$0.45_{-0.05}^{+0.11}$","DB (5)"
"3137340435682881920","3137340435679753728","3766","18.3","$22880_{-3230}^{+3860}$","$9.12_{-0.11}^{+0.15}$","$0.52_{-0.13}^{+0.08}$","---"
"3145894292546764544","3145894288249489152","3385","23.2","$ 8060_{-260}^{+230}$","$8.20_{-0.07}^{+0.07}$","$1.92_{-0.10}^{+0.19}$","---"
"3160143344767586176","3160143344767585536","3209","22.6","$ 8520_{-300}^{+280}$","$8.33_{-0.07}^{+0.07}$","$1.92_{-0.13}^{+0.10}$","---"
"3165392310198209664","3165392305902629504","3411","106.7","$ 8830_{-1560}^{+150}$","$8.56_{-0.04}^{+0.04}$","$2.62_{-0.03}^{+0.04}$","---"
"3235085949939746304","3235085949939746176","3077","92.1","$ 5650_{-100}^{+ 100}$","$8.14_{-0.05}^{+0.05}$","$4.69_{-0.27}^{+0.60}$","---"
"3238194445407460864","3238194372390557312","4305","58.1","$ 7230_{-290}^{+270}$","$8.30_{-0.08}^{+0.09}$","$2.92_{-0.22}^{+0.28}$","---"
"3276414466021403008","3276414466021403264","3194","111.1","$ 7180_{-90}^{+ 90}$","$8.42_{-0.04}^{+0.04}$","$2.65_{-0.11}^{+0.18}$","DC (11)"
"3278241888706974336","3278241888707395584","3196","117.5","$ 6530_{-240}^{+230}$","$8.21_{-0.08}^{+0.08}$","$3.33_{-0.28}^{+0.39}$","---"
"3283182338046329472","3283182265031074560","3306","17.4","$ 9660_{-640}^{+580}$","$8.38_{-0.12}^{+0.12}$","$1.50_{-0.14}^{+0.10}$","---"
"3317635947223274752","3317636703137518208","3317","125.4","$ 6340_{- 80}^{+ 80}$","$9.29_{-0.04}^{+0.04}$","$3.99_{-0.10}^{+0.08}$","---"
"3361149463489086720","3361149527909420928","3354","41.0","$ 9320_{-220}^{+210}$","$8.53_{-0.04}^{+0.04}$","$2.13_{-0.05}^{+0.06}$","---"
"3369278874508583424","3369278767129521792","3673","16.5","$ 6020_{- 80}^{+ 80}$","$8.23_{-0.04}^{+0.04}$","$4.40_{-0.14}^{+0.14}$","DA (2)"
"3369544303487186560","3369544234764481024","3278","13.4","$ 5180_{- 100}^{+ 90}$","$8.12_{-0.06}^{+0.06}$","$7.07_{-0.33}^{+1.89}$","DA (2)"
"3387417517828617088","3387417513531897984","3428","51.6","$ 9660_{-400}^{+370}$","$8.21_{-0.08}^{+0.08}$","$1.34_{-0.09}^{+0.17}$","---"
"3389371380055187968","3389371384349749376","3084","29.3","$ 6520_{-140}^{+130}$","$8.14_{-0.05}^{+0.05}$","$3.03_{-0.22}^{+0.50}$","DA (2)"
"3400087667066875648","3400087873225289728","3560","34.2","$12680_{-370}^{+380}$","$8.12_{-0.04}^{+0.04}$","$0.98_{-0.09}^{+0.20}$","DA (2)"
"3413008990266533376","3413009093345760768","3387","70.4","$ 6520_{-160}^{+140}$","$8.16_{-0.06}^{+0.06}$","$3.10_{-0.25}^{+0.41}$","DA (2)"
"3423222461152705536","3423222559935120000","4007","17.7","$ 9580_{-160}^{+160}$","$8.74_{-0.04}^{+0.04}$","$1.76_{-0.06}^{+0.06}$","DC: (2)"
"3435597013551204736","3435597013551206784","3289","10.7","$ 7180_{-290}^{+290}$","$8.25_{-0.08}^{+0.09}$","$2.73_{-0.25}^{+0.28}$","---"
"3630646463602449664","3630648387747801088","3398","21.9","$12230_{-150}^{+150}$","$8.57_{-0.04}^{+0.04}$","$1.02_{-0.01}^{+0.02}$","DA: (2)"
"3724362340763265536","3724362336470991488","3066","24.9","$ 7930_{-110}^{+100}$","$8.26_{-0.04}^{+0.04}$","$2.08_{-0.09}^{+0.27}$","DQ (10)"
"3726944921778222080","3726944951843168768","3464","37.1","$10480_{-140}^{+140}$","$8.13_{-0.04}^{+0.04}$","$1.25_{-0.07}^{+0.13}$","DA (2)"
"3727701042180797952","3727701007821059072","3247","40.0","$ 8500_{-170}^{+160}$","$8.28_{-0.05}^{+0.05}$","$1.84_{-0.12}^{+0.32}$","DQ (4)"
"3733304978070296320","3733305179932909312","3098","173.7","$ 5810_{- 70}^{+ 70}$","$8.21_{-0.04}^{+0.04}$","$4.73_{-0.11}^{+0.11}$","DA: (6)"
